Date,Close,Open,High,Low,Volume
2015-12-31,426.5,429.06,434.99,422.01,201.034372125
2015-12-30,425.82,431.6,432.31,422.1,172.31940485
2015-12-29,429.46,421.86,436.79,421.79,719.715890094
2015-12-28,423.41,428.69,428.69,418.53,142.86910542799998
2015-12-27,420.0,412.25,429.31,411.62,51.3049276528
2015-12-26,431.5,445.1,446.2,407.07,484.061629976
2015-12-25,454.0,457.75,460.91,445.1,56.695306792
2015-12-24,454.99,454.75,461.86,448.24,313.477600377
2015-12-23,439.26,435.98,455.0,435.98,540.136584924
2015-12-22,435.6,438.63,442.46,434.79,264.341550385
2015-12-21,436.97,436.0,449.99,435.54,187.566332289
2015-12-20,455.74,458.83,461.66,428.52,364.77368905099996
2015-12-19,463.5,464.5,466.39,455.0,74.2471500596
2015-12-18,461.0,458.75,466.93,456.56,530.253707669
2015-12-17,459.04,451.2,459.89,451.2,298.066836913
2015-12-16,457.48,445.18,463.93,440.0,406.783718969
2015-12-15,462.0,452.52,480.0,445.18,896.246723091
2015-12-14,446.9,436.67,455.5,436.03,1171.25383096
2015-12-13,439.89,435.55,441.53,422.0,92.4841768172
2015-12-12,427.43,467.3,472.17,408.45,480.381688985
2015-12-11,434.0,420.79,473.34,420.79,922.040497224
2015-12-10,415.51,415.0,421.0,412.54,698.0927540560001
2015-12-09,414.99,422.2,424.48,347.5,662.142573311
2015-12-08,397.0,395.0,422.2,390.84,608.643777036
2015-12-07,396.0,392.18,400.0,387.46,745.261792745
2015-12-06,391.0,392.66,403.33,385.01,185.137172828
2015-12-05,377.05,369.2,394.99,361.53,726.0781572310001
2015-12-04,362.66,358.5,369.2,357.56,962.284415894
2015-12-03,359.0,365.21,369.99,356.0,819.669910265
2015-12-02,358.3,352.52,366.53,351.79,521.378642927
2015-12-01,364.56,377.32,379.99,349.0,545.953654593
2015-11-30,376.99,373.87,380.99,367.53,1346.30344632
2015-11-29,363.38,357.01,380.0,354.01,683.993384472
2015-11-28,353.78,353.78,359.99,352.53,101.35503111
2015-11-27,355.01,350.82,369.04,348.79,1084.18017516
2015-11-26,345.0,329.98,365.37,329.98,480.450659051
2015-11-25,325.82,315.21,334.93,315.21,567.634210553
2015-11-24,321.12,320.11,324.0,315.21,371.89025493199995
2015-11-23,325.97,324.17,326.32,305.0,1558.2901298
2015-11-22,324.19,326.22,328.75,320.99,201.24093022
2015-11-21,325.25,321.0,328.97,321.0,302.108716769
2015-11-20,324.99,318.0,325.0,317.09,325.766320904
2015-11-19,326.24,332.8,334.1,310.0,616.307322016
2015-11-18,332.9,335.36,337.9,330.01,1859.41777385
2015-11-17,336.0,337.37,340.24,331.35,883.220437098
2015-11-16,321.85,324.06,340.0,320.28,569.347033154
2015-11-15,345.64,337.69,354.99,315.0,414.331167161
2015-11-14,337.6,340.0,353.0,333.58,292.707546127
2015-11-13,331.0,337.87,2200.0,326.6,837.7891129569999
2015-11-12,326.0,320.0,344.8,316.01,865.424181773
2015-11-11,307.59,311.0,328.55,300.0,1357.48228767
2015-11-10,349.75,377.0,383.0,236.0,884.7037194330001
2015-11-09,384.0,369.07,386.79,367.63,967.508204586
2015-11-08,386.58,389.61,389.61,361.43,285.561357143
2015-11-07,383.5,374.97,391.92,374.97,684.949025041
2015-11-06,387.18,367.49,399.7,354.01,1183.76987238
2015-11-05,389.22,441.95,441.95,355.0,1559.64618172
2015-11-04,481.04,439.0,500.0,365.0,2176.61396332
2015-11-03,394.96,375.0,441.87,370.23,2805.05126516
2015-11-02,336.58,328.0,376.54,327.75,3164.77505896
2015-11-01,320.0,315.14,330.0,299.76,570.517586256
2015-10-31,317.52,334.89,334.89,309.15,236.886148323
2015-10-30,325.28,329.93,374.0,317.86,1571.87123381
2015-10-29,320.01,306.99,329.94,261.51,2181.52314856
2015-10-28,308.5,298.38,309.0,298.38,1204.53759053
2015-10-27,294.0,291.69,299.0,288.53,650.240803273
2015-10-26,288.89,285.0,296.99,283.99,480.279791392
2015-10-25,296.0,290.0,297.0,284.98,139.95739933299998
